SETPOINT    RPM RODA 1        PWM RODA 1         RPM RODA 2        PWM RODA 2
900.00         900.00              38.14              906.00              54.24
900.00         922.00              37.48              922.00              53.62
900.00         917.00              37.62              917.00              53.52
900.00         918.00              37.42              909.00              53.51
900.00         912.00              37.47              905.00              53.48
900.00         906.00              37.52              906.00              53.36
900.00         906.00              37.43              906.00              53.27
900.00         852.00              39.02              911.00              53.02
900.00         887.00              37.92              902.00              53.17
900.00         889.00              38.22              899.00              53.21
900.00         894.00              38.17              894.00              53.38
900.00         894.00              38.26              900.00              53.25
900.00         894.00              38.30              900.00              53.27
900.00         911.00              37.83              882.00              53.87
900.00         917.00              37.69              887.00              53.91
900.00         905.00              37.97              885.00              54.19
900.00         894.00              38.18              894.00              54.10
900.00         894.00              38.14              894.00              54.22
900.00         894.00              38.19              894.00              54.31
900.00         922.00              37.38              922.00              53.47
900.00         907.00              37.88              907.00              53.74
900.00         909.00              37.65              909.00              53.52
900.00         905.00              37.72              905.00              53.53
900.00         900.00              37.80              900.00              53.60
900.00         900.00              37.76              900.00              53.59
900.00         863.00              38.88              892.00              53.85
900.00         843.00              39.50              887.00              54.11
900.00         839.00              39.91              889.00              54.22
900.00         838.00              40.38              897.00              54.12
900.00         841.00              40.76              894.00              54.29
900.00         841.00              41.23              894.00              54.37
900.00         892.00              40.14              892.00              54.53
900.00         902.00              40.28              902.00              54.30
900.00         899.00              40.43              909.00              54.08
900.00         902.00              40.33              902.00              54.20
900.00         900.00              40.39              906.00              54.02
900.00         900.00              40.38              906.00              53.94
900.00         882.00              40.92              911.00              53.69
900.00         902.00              40.32              902.00              53.84
900.00         899.00              40.55              899.00              53.88
900.00         902.00              40.44              902.00              53.78
900.00         900.00              40.51              900.00              53.83
900.00         900.00              40.50              900.00              53.82
900.00         892.00              40.74              892.00              54.09
900.00         907.00              40.29              892.00              54.18
900.00         899.00              40.59              899.00              54.06
900.00         905.00              40.35              897.00              54.17
900.00         902.00              40.45              902.00              54.04
900.00         902.00              40.41              902.00              54.03
900.00         892.00              40.70              922.00              53.33
900.00         902.00              40.38              902.00              53.75
900.00         909.00              40.23              899.00              53.74
900.00         905.00              40.33              905.00              53.55
900.00         906.00              40.24              900.00              53.66
900.00         906.00              40.20              900.00              53.64
900.00         922.00              39.67              892.00              53.91
900.00         946.00              38.89              902.00              53.67
900.00         948.00              38.65              899.00              53.77
900.00         946.00              38.36              894.00              53.94
900.00         941.00              38.14              894.00              54.02
900.00         941.00              37.79              894.00              54.10
900.00         911.00              38.38              882.00              54.59
900.00         917.00              37.89              902.00              54.15
900.00         918.00              37.78              909.00              53.96
900.00         909.00              37.92              902.00              54.09
900.00         906.00              37.87              906.00              53.90
900.00         906.00              37.80              906.00              53.82
900.00         892.00              38.18              922.00              53.20
900.00         892.00              38.14              907.00              53.43
900.00         889.00              38.29              899.00              53.54
900.00         890.00              38.32              897.00              53.59
900.00         896.00              38.23              896.00              53.66
900.00         896.00              38.30              896.00              53.72
900.00         922.00              37.55              892.00              53.91
900.00         902.00              38.18              902.00              53.68
900.00         909.00              37.80              899.00              53.79
900.00         905.00              37.90              905.00              53.59
900.00         906.00              37.80              900.00              53.71
900.00         906.00              37.77              900.00              53.69
900.00         863.00              39.02              922.00              52.96
900.00         887.00              38.26              887.00              53.88
900.00         889.00              38.48              889.00              53.87
900.00         894.00              38.43              894.00              53.88
900.00         900.00              38.33              894.00              53.99
900.00         900.00              38.37              894.00              54.07
900.00         911.00              38.04              911.00              53.60
900.00         917.00              37.86              902.00              53.80
900.00         918.00              37.74              909.00              53.50
900.00         909.00              37.88              909.00              53.39
900.00         906.00              37.83              906.00              53.36
900.00         906.00              37.77              906.00              53.26
900.00         892.00              38.14              892.00              53.64
900.00         892.00              38.10              892.00              53.70
900.00         889.00              38.25              889.00              53.92
900.00         897.00              38.07              897.00              53.81
900.00         896.00              38.19              896.00              53.92
700.00         896.00              33.64              896.00              48.04
700.00         863.00              33.14              892.00              45.27
700.00         798.00              33.60              872.00              43.08
700.00         750.00              33.82              859.00              40.89
700.00         697.00              34.68              845.00              38.96
700.00         645.00              35.88              817.00              37.69
700.00         645.00              35.92              817.00              35.85
700.00         327.00              45.97              565.00              42.52
700.00         443.00              42.96              547.00              44.19
700.00         563.00              42.17              563.00              45.85
700.00         643.00              41.69              584.00              47.24
700.00         704.00              40.88              604.00              48.37
700.00         704.00              41.30              604.00              49.87
700.00         970.00              33.22              764.00              45.96
700.00         961.00              33.40              769.00              45.43
700.00         918.00              32.62              780.00              44.06
700.00         872.00              32.02              776.00              43.05
700.00         835.00              31.47              770.00              42.11
700.00         835.00              30.16              770.00              41.05
700.00         505.00              39.11              744.00              40.88
700.00         535.00              37.25              714.00              41.13
700.00         592.00              37.01              701.00              41.25
700.00         630.00              37.12              697.00              41.32
700.00         659.00              37.06              694.00              41.45
700.00         659.00              37.59              694.00              41.53
700.00         833.00              32.64              684.00              41.95
700.00         798.00              33.97              665.00              42.78
700.00         760.00              34.11              671.00              43.03
700.00         727.00              34.36              667.00              43.62
700.00         681.00              35.30              669.00              44.02
700.00         681.00              35.11              669.00              44.49
700.00         386.00              44.18              684.00              44.45
700.00         488.00              41.31              710.00              43.87
700.00         592.00              40.56              711.00              43.79
700.00         658.00              40.16              710.00              43.66
700.00         710.00              39.40              716.00              43.31
700.00         710.00              39.71              716.00              43.10
700.00         852.00              35.34              705.00              43.23
700.00         828.00              35.95              724.00              42.48
700.00         780.00              36.24              731.00              41.96
700.00         732.00              36.72              724.00              41.76
700.00         681.00              37.66              722.00              41.44
700.00         681.00              37.43              722.00              41.11
700.00         654.00              38.39              714.00              41.05
700.00         699.00              37.18              714.00              40.82
700.00         721.00              36.86              711.00              40.71
700.00         727.00              36.68              704.00              40.77
700.00         718.00              36.79              700.00              40.82
700.00         718.00              36.58              700.00              40.80
700.00         505.00              42.89              684.00              41.33
700.00         576.00              40.66              665.00              42.14
700.00         652.00              39.84              671.00              42.39
700.00         704.00              39.20              682.00              42.48
700.00         740.00              38.47              681.00              42.82
700.00         740.00              38.43              681.00              43.10
700.00         922.00              32.61              714.00              42.28
700.00         857.00              34.23              724.00              41.86
700.00         830.00              33.35              711.00              41.97
700.00         791.00              33.33              710.00              41.80
700.00         752.00              33.52              704.00              41.84
700.00         752.00              32.83              704.00              41.76
700.00         411.00              42.75              676.00              42.64
700.00         488.00              40.11              665.00              43.26
700.00         583.00              39.44              671.00              43.53
700.00         643.00              39.23              680.00              43.69
700.00         687.00              38.78              687.00              43.78
700.00         687.00              39.21              687.00              44.00
700.00         892.00              33.10              744.00              42.29
700.00         877.00              33.61              744.00              41.85
700.00         839.00              33.28              741.00              41.30
700.00         801.00              33.08              734.00              40.92
700.00         760.00              33.26              730.00              40.52
700.00         760.00              32.50              730.00              40.06
700.00         446.00              41.54              684.00              41.15
700.00         517.00              39.01              680.00              41.35
700.00         592.00              38.67              681.00              41.60
700.00         637.00              38.70              682.00              41.85
700.00         681.00              38.19              681.00              42.15
700.00         681.00              38.66              681.00              42.43
700.00         833.00              34.20              714.00              41.61
700.00         828.00              34.46              710.00              41.66
700.00         810.00              33.99              701.00              41.80
700.00         771.00              34.19              704.00              41.65
700.00         728.00              34.65              699.00              41.77
700.00         728.00              34.12              699.00              41.76
700.00         441.00              42.59              676.00              42.54
700.00         502.00              40.60              695.00              42.18
700.00         602.00              39.55              701.00              42.13
700.00         658.00              39.35              702.00              42.10
700.00         704.00              38.70              710.00              41.81
700.00         704.00              39.01              710.00              41.69
700.00         911.00              32.71              705.00              41.71
700.00         872.00              33.81              710.00              41.45
700.00         846.00              32.99              708.00              41.39
700.00         806.00              32.88              710.00              41.19
700.00         764.00              33.04              704.00              41.25
700.00         764.00              32.24              704.00              41.17
700.00         446.00              41.37              714.00              40.78
700.00         520.00              38.72              699.00              41.11
700.00         583.00              38.74              701.00              41.00
700.00         630.00              38.69              697.00              41.13
700.00         657.00              38.76              699.00              41.09
700.00         657.00              39.29              699.00              41.11
700.00         803.00              35.20              714.00              40.63
700.00         784.00              36.07              710.00              40.61
700.00         731.00              36.89              701.00              40.74
700.00         689.00              37.53              697.00              40.83
700.00         663.00              38.09              693.00              40.99
700.00         663.00              38.18              693.00              41.08
700.00         764.00              35.41              676.00              41.75
700.00         754.00              35.97              680.00              41.91
700.00         721.00              36.48              681.00              42.19
700.00         687.00              37.10              687.00              42.27
700.00         669.00              37.49              693.00              42.29
700.00         669.00              37.60              693.00              42.42
700.00         735.00              35.84              705.00              42.12
700.00         724.00              36.39              724.00              41.46
700.00         698.00              36.91              718.00              41.37
700.00         665.00              37.73              717.00              41.12
500.00         651.00              33.61              710.00              35.17
500.00         651.00              32.35              710.00              32.03
500.00         505.00              35.61              565.00              33.75
500.00         491.00              34.91              535.00              33.25
500.00         454.00              35.99              494.00              33.99
500.00         422.00              37.04              459.00              35.09
500.00         426.00              37.28              426.00              36.67
500.00         426.00              37.88              426.00              37.64
500.00         714.00              29.73              208.00              46.01
500.00         710.00              30.35              221.00              49.09
500.00         681.00              29.58              276.00              51.44
500.00         645.00              29.06              348.00              52.56
500.00         604.00              28.92              420.00              52.68
500.00         604.00              27.81              420.00              54.13
500.00         323.00              35.52              852.00              40.92
500.00         281.00              36.06              857.00              37.14
500.00         256.00              38.19              839.00              32.47
500.00         295.00              38.70              798.00              28.74
500.00         361.00              38.57              770.00              25.11
500.00         361.00              40.13              770.00              21.01
500.00         823.00              27.21              470.00              27.01
500.00         813.00              28.47              443.00              27.24
500.00         787.00              26.78              413.00              28.99
500.00         754.00              25.37              384.00              31.13
500.00         710.00              24.51              349.00              33.91
500.00         710.00              22.56              349.00              36.02
