SETPOINT      RPM RODA 1         PWM RODA 1        RPM RODA 2         PWM RODA 2
800.00         754.00              38.42              813.00              34.44
800.00         777.00              38.47              807.00              34.41
800.00         806.00              38.20              806.00              34.32
800.00         823.00              37.93              805.00              34.26
800.00         823.00              37.79              805.00              34.18
0.00         892.00              24.78              803.00              10.47
0.00         858.00              18.94              783.00              0.00
0.00         826.00              13.13              745.00              0.00
0.00         782.00              7.75              706.00              0.00
0.00         739.00              2.65              672.00              0.00
0.00         700.00              0.00              633.00              0.00
0.00         700.00              0.00              633.00              0.00
0.00         308.00              0.00              308.00              0.00
0.00         295.00              0.00              279.00              0.00
0.00         259.00              0.00              259.00              0.00
0.00         225.00              0.00              233.00              0.00
0.00         193.00              0.00              205.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
0.00         160.00              0.00              181.00              0.00
800.00         160.00              9.37              181.00              18.34
800.00         160.00              14.05              181.00              27.51
800.00         160.00              18.73              29.00              41.75
800.00         160.00              23.41              89.00              50.61
800.00         160.00              28.10              179.00              58.36
800.00         5.00              35.33              280.00              64.53
800.00         5.00              40.86              280.00              72.61
800.00         304.00              41.76              914.00              59.18
800.00         479.00              43.05              928.00              59.37
800.00         597.00              43.78              926.00              57.59
800.00         677.00              44.16              930.00              55.59
800.00         738.00              44.21              934.00              53.54
800.00         738.00              44.77              934.00              51.57
800.00         1029.00              40.43              941.00              49.35
800.00         1014.00              39.54              941.00              47.29
800.00         986.00              38.41              937.00              45.33
800.00         970.00              37.26              933.00              43.42
800.00         949.00              36.33              925.00              41.70
800.00         949.00              35.20              925.00              39.82
800.00         684.00              38.47              892.00              39.07
800.00         684.00              38.84              892.00              37.59
800.00         721.00              39.08              879.00              36.66
800.00         749.00              39.26              875.00              35.57
800.00         776.00              39.24              870.00              34.61
800.00         776.00              39.47              870.00              33.56
800.00         922.00              37.24              803.00              34.75
800.00         931.00              36.47              798.00              34.63
800.00         909.00              35.89              800.00              34.57
800.00         875.00              35.61              801.00              34.54
800.00         835.00              35.66              793.00              34.80
800.00         835.00              35.33              793.00              34.87
800.00         529.00              40.11              764.00              35.94
800.00         562.00              40.99              784.00              35.70
800.00         632.00              41.64              790.00              35.82
800.00         687.00              42.09              784.00              36.19
800.00         728.00              42.34              787.00              36.30
800.00         728.00              42.94              787.00              36.50
800.00         941.00              39.96              823.00              35.50
800.00         931.00              39.49              813.00              35.62
800.00         915.00              38.77              816.00              35.29
800.00         909.00              38.00              821.00              34.90
800.00         900.00              37.34              817.00              34.74
800.00         900.00              36.59              817.00              34.47
800.00         773.00              37.95              773.00              35.69
800.00         758.00              38.16              788.00              35.43
800.00         750.00              38.57              790.00              35.59
800.00         764.00              38.70              793.00              35.65
800.00         770.00              38.89              793.00              35.76
800.00         770.00              39.12              793.00              35.87
800.00         833.00              38.30              803.00              35.64
800.00         828.00              38.25              798.00              35.80
800.00         839.00              37.86              790.00              36.07
800.00         838.00              37.61              793.00              36.09
800.00         835.00              37.38              799.00              36.01
800.00         835.00              37.12              799.00              36.04
800.00         764.00              38.03              794.00              36.23
800.00         784.00              37.84              813.00              35.66
800.00         790.00              37.89              810.00              35.64
800.00         791.00              37.96              813.00              35.38
800.00         787.00              38.09              811.00              35.27
800.00         787.00              38.18              811.00              35.10
800.00         823.00              37.68              794.00              35.50
800.00         813.00              37.74              798.00              35.39
800.00         816.00              37.58              797.00              35.47
800.00         821.00              37.39              798.00              35.48
800.00         823.00              37.21              799.00              35.48
800.00         823.00              37.05              799.00              35.50
800.00         803.00              37.21              803.00              35.38
800.00         803.00              37.15              803.00              35.35
800.00         790.00              37.34              800.00              35.40
800.00         793.00              37.34              793.00              35.63
800.00         787.00              37.50              793.00              35.70
800.00         787.00              37.58              793.00              35.81
800.00         833.00              36.92              803.00              35.58
800.00         798.00              37.34              798.00              35.74
800.00         790.00              37.42              800.00              35.68
800.00         793.00              37.43              801.00              35.66
800.00         799.00              37.39              799.00              35.71
800.00         799.00              37.40              799.00              35.72
800.00         852.00              36.54              794.00              35.90
800.00         828.00              36.65              798.00              35.84
800.00         790.00              37.03              800.00              35.82
800.00         761.00              37.51              798.00              35.89
800.00         752.00              37.89              799.00              35.88
800.00         752.00              38.22              799.00              35.90
800.00         794.00              37.88              794.00              36.08
800.00         784.00              38.17              798.00              36.02
800.00         787.00              38.22              797.00              36.09
800.00         791.00              38.25              806.00              35.83
800.00         799.00              38.19              805.00              35.81
800.00         799.00              38.22              805.00              35.73
800.00         833.00              37.66              803.00              35.73
800.00         818.00              37.73              818.00              35.17
800.00         810.00              37.70              810.00              35.23
800.00         808.00              37.65              808.00              35.12
800.00         801.00              37.70              807.00              35.03
800.00         801.00              37.68              807.00              34.92
800.00         773.00              38.14              803.00              34.95
800.00         769.00              38.35              798.00              35.06
800.00         800.00              38.06              810.00              34.67
800.00         816.00              37.85              808.00              34.63
800.00         823.00              37.65              805.00              34.60
800.00         823.00              37.49              805.00              34.52
800.00         863.00              36.66              803.00              34.51
800.00         828.00              36.85              798.00              34.63
800.00         800.00              37.05              800.00              34.57
800.00         784.00              37.26              798.00              34.64
800.00         781.00              37.39              799.00              34.63
800.00         781.00              37.53              799.00              34.65
800.00         823.00              36.98              764.00              35.83
800.00         813.00              37.05              784.00              35.57
800.00         800.00              37.15              790.00              35.68
800.00         791.00              37.27              791.00              35.82
800.00         799.00              37.19              793.00              35.89
800.00         799.00              37.21              793.00              36.00
800.00         833.00              36.66              833.00              34.77
800.00         818.00              36.73              818.00              34.93
800.00         780.00              37.20              810.00              34.87
800.00         764.00              37.54              808.00              34.76
1000.00         766.00              40.66              807.00              40.60
1000.00         766.00              42.38              807.00              43.45
1000.00         911.00              41.70              852.00              44.81
1000.00         935.00              42.23              862.00              46.84
1000.00         957.00              42.38              869.00              48.69
1000.00         964.00              42.62              869.00              50.65
1000.00         977.00              42.68              878.00              52.29
1000.00         977.00              42.88              878.00              54.13
1000.00         1017.00              42.39              930.00              54.21
1000.00         1031.00              42.11              944.00              54.97
1000.00         1023.00              42.04              955.00              55.49
1000.00         1014.00              42.00              956.00              56.16
1000.00         1001.00              42.10              954.00              56.88
1000.00         1001.00              42.06              954.00              57.56
1000.00         948.00              42.93              948.00              58.44
1000.00         944.00              43.28              959.00              58.82
1000.00         953.00              43.53              963.00              59.33
1000.00         954.00              43.88              954.00              60.20
1000.00         957.00              44.17              957.00              60.74
1000.00         957.00              44.49              957.00              61.39
1000.00         1000.00              44.09              970.00              61.60
1000.00         994.00              44.27              964.00              62.29
1000.00         992.00              44.34              963.00              62.83
1000.00         994.00              44.36              972.00              63.08
1000.00         992.00              44.44              969.00              63.63
1000.00         992.00              44.49              969.00              64.07
1000.00         959.00              45.10              959.00              64.87
1000.00         994.00              44.76              979.00              64.77
1000.00         1005.00              44.69              966.00              65.59
1000.00         1020.00              44.42              969.00              65.94
1000.00         1031.00              44.12              973.00              66.28
1000.00         1031.00              43.92              973.00              66.70
1000.00         1075.00              42.96              988.00              66.60
1000.00         1054.00              42.84              982.00              67.03
1000.00         1052.00              42.44              984.00              67.21
1000.00         1054.00              42.02              982.00              67.52
1000.00         1053.00              41.65              983.00              67.74
1000.00         1053.00              41.26              983.00              68.00
1000.00         1046.00              40.99              988.00              68.09
1000.00         1031.00              40.88              1002.00              67.82
1000.00         1028.00              40.68              1000.00              67.90
1000.00         1023.00              40.55              994.00              68.10
1000.00         1019.00              40.44              996.00              68.10
1000.00         1019.00              40.29              996.00              68.16
1000.00         977.00              40.85              977.00              68.86
1000.00         988.00              40.76              973.00              69.26
1000.00         988.00              40.86              978.00              69.48
1000.00         998.00              40.79              983.00              69.66
1000.00         998.00              40.82              981.00              69.99
1000.00         998.00              40.84              981.00              70.27
1000.00         1000.00              40.82              1000.00              69.92
1000.00         997.00              40.87              997.00              70.09
1000.00         998.00              40.87              998.00              70.09
1000.00         995.00              40.94              995.00              70.22
1000.00         996.00              40.95              1002.00              70.05
1000.00         996.00              40.98              1002.00              70.04
1000.00         1017.00              40.67              1017.00              69.52
1000.00         1011.00              40.68              1011.00              69.52
1000.00         1005.00              40.69              996.00              69.83
1000.00         1001.00              40.70              994.00              69.90
1000.00         1002.00              40.67              990.00              70.12
1000.00         1002.00              40.66              990.00              70.25
1000.00         977.00              41.06              948.00              71.80
1000.00         988.00              41.00              973.00              71.58
1000.00         998.00              40.94              978.00              71.91
1000.00         998.00              40.97              991.00              71.82
1000.00         998.00              40.99              987.00              72.13
1000.00         998.00              41.00              987.00              72.31
1000.00         1029.00              40.51              1029.00              71.10
1000.00         1011.00              40.65              1011.00              71.43
1000.00         1000.00              40.72              1009.00              71.27
1000.00         998.00              40.73              1005.00              71.26
1000.00         1002.00              40.67              1008.00              71.07
1000.00         1002.00              40.67              1008.00              70.96
1000.00         1005.00              40.60              1005.00              70.94
1000.00         1000.00              40.65              1000.00              71.03
1000.00         1001.00              40.63              1001.00              70.97
1000.00         1000.00              40.64              1000.00              71.00
1000.00         978.00              41.00              1001.00              70.96
1000.00         978.00              41.12              1001.00              70.95
1000.00         901.00              42.55              1017.00              70.40
1000.00         924.00              42.75              997.00              70.87
1000.00         930.00              43.25              998.00              70.81
1000.00         932.00              43.74              1005.00              70.61
1000.00         941.00              44.10              1000.00              70.73
1000.00         941.00              44.55              1000.00              70.71
1000.00         977.00              44.38              1005.00              70.54
1000.00         982.00              44.54              997.00              70.76
1000.00         984.00              44.64              994.00              70.87
1000.00         1002.00              44.47              995.00              70.92
1000.00         1003.00              44.47              991.00              71.13
1000.00         1003.00              44.45              4.00              104.15
1000.00         1088.00              43.03              1058.00              80.11
1000.00         1083.00              42.62              1040.00              83.76
1000.00         1076.00              42.12              1038.00              83.16
1000.00         1063.00              41.77              1034.00              82.73
1000.00         1057.00              41.38              1034.00              82.21
1000.00         1057.00              40.95              1034.00              81.70
1000.00         1034.00              40.91              1034.00              81.20
1000.00         1028.00              40.72              1028.00              80.90
1000.00         1011.00              40.79              1030.00              80.39
1000.00         1007.00              40.74              1028.00              80.02
1000.00         1012.00              40.60              1024.00              79.73
1000.00         1012.00              40.52              1024.00              79.36
1000.00         977.00              41.01              1034.00              78.67
1000.00         977.00              41.11              1034.00              78.21
1000.00         1000.00              40.90              1028.00              77.90
1000.00         998.00              40.98              1027.00              77.50
1000.00         1002.00              40.92              1025.00              77.16
1000.00         1002.00              40.92              1025.00              76.79
1000.00         1005.00              40.85              1005.00              77.08
1000.00         1000.00              40.90              1000.00              77.10
1000.00         1001.00              40.88              1011.00              76.72
1000.00         1000.00              40.89              1014.00              76.49
1000.00         1001.00              40.87              1012.00              76.36
1000.00         1001.00              40.86              1012.00              76.18
0.00         1005.00              26.16              1005.00              46.60
0.00         973.00              19.34              1002.00              31.79
0.00         931.00              12.85              980.00              17.67
0.00         890.00              6.64              956.00              3.87
0.00         833.00              0.99              923.00              0.00
0.00         783.00              0.00              883.00              0.00
0.00         783.00              0.00              883.00              0.00
0.00         343.00              0.00              531.00              0.00
0.00         312.00              0.00              500.00              0.00
0.00         280.00              0.00              466.00              0.00
0.00         241.00              0.00              436.00              0.00
0.00         205.00              0.00              405.00              0.00
0.00         171.00              0.00              374.00              0.00
0.00         171.00              0.00              374.00              0.00
0.00         171.00              0.00              123.00              0.00
0.00         171.00              0.00              93.00              0.00
0.00         171.00              0.00              72.00              0.00
0.00         171.00              0.00              54.00              0.00
0.00         171.00              0.00              43.00              0.00
0.00         171.00              0.00              36.00              0.00
0.00         171.00              0.00              36.00              0.00
0.00         171.00              0.00              36.00              0.00
0.00         171.00              0.00              36.00              0.00
0.00         171.00              0.00              36.00              0.00
0.00         171.00              0.00              36.00              0.00
0.00         171.00              0.00              36.00              0.00
0.00         171.00              0.00              36.00              0.00
0.00         171.00              0.00              36.00              0.00
0.00         171.00              0.00              36.00              0.00
0.00         171.00              0.00              36.00              0.00
0.00         171.00              0.00              36.00              0.00
0.00         171.00              0.00              36.00              0.00
0.00         171.00              0.00              36.00              0.00
0.00         171.00              0.00              36.00              0.00
0.00         171.00              0.00              36.00              0.00
0.00         171.00              0.00              36.00              0.00
