(RODA 2 COM O CIRCUITO DA RODA 1)
PWM    RPM R1    RPM R2    RPM R3
100PWM    RPM R1    RPM R2    RPM R3
20    753    0    0
20    752    0    0
20    741    0    0
20    742    0    0
20    743    0    0
20    742    0    0
20    744    0    0
20    749    0    0
20    743    0    0
20    748    0    0
20    749    0    0
20    748    0    0
20    743    0    0
20    747    0    0
20    744    0    0
20    744    0    0
20    745    0    0
20    743    0    0
20    746    0    0
20    4    0    0
20    833    0    0
20    775    0    0
20    760    0    0
20    766    0    0
20    759    0    0
20    773    0    0
20    758    0    0
20    755    0    0
20    748    0    0
20    757    0    0
20    754    0    0
20    748    0    0
20    754    0    0
20    753    0    0
20    753    0    0
20    754    0    0
20    752    0    0
20    749    0    0
20    753    0    0
20    752    0    0
20    747    0    0
20    750    0    0
20    745    0    0
20    746    0    0
20    746    0    0
20    746    0    0
20    747    0    0
